施設・場所名,住所,緯度,経度
京都府立北稜高等学校,京都府京都市左京区岩倉幡枝町2105,35.07022496,135.773017
京都ノートルダム女子大学,京都府京都市左京区下鴨南野々神町1,35.05070445,135.7723571
京都精華大学,京都府京都市左京区岩倉木野町137,35.0731376,135.770978
同志社中学校・高等学校 南体育館,京都府京都市左京区岩倉大鷺町89,35.06681333,135.7861404
京都工芸繊維大学,京都府京都市左京区松ヶ崎橋上町,35.05004017,135.782933
元京都市立生祥小学校,京都府京都市中京区富小路通六角下ル骨屋之町549,35.00679155,135.7652977
元京都市立教業小学校,京都府京都市中京区大宮通御池下ル三坊大宮町121-2,35.00991211,135.7481762
元京都市立立誠小学校,京都府京都市中京区蛸薬師通河原町東入備前島町310-2,35.00597373,135.7702898
京都市教育相談総合センター,京都府京都市中京区姉小路通東洞院東入曇華院前町706-3,35.00962752,135.7617083
京都市立御所南小学校,京都府京都市中京区柳馬場通夷川上ル五町目242,35.01596341,135.7644781
京都市立高倉小学校,京都府京都市中京区高倉通六角下ル和久屋町343,35.00662181,135.762103
京都市立洛中小学校,京都府京都市中京区壬生坊城町57-1,35.00598501,135.7473804
京都市立朱雀第一小学校,京都府京都市中京区壬生朱雀町8-2,35.00706829,135.7438009
京都市立朱雀第二小学校,京都府京都市中京区西ノ京左馬寮町3-1,35.01788369,135.7367832
京都市立朱雀第三小学校,京都府京都市中京区壬生松原町81,34.99846436,135.7398885
京都市立朱雀第四小学校,京都府京都市中京区西ノ京笠殿町164,35.01400682,135.7343343
京都市立朱雀第六小学校,京都府京都市中京区西ノ京車坂町15-5,35.01684913,135.7384754
京都市立朱雀第七小学校,京都府京都市中京区壬生東土居ノ内町20,35.00303159,135.7354342
京都市立朱雀第八小学校,京都府京都市中京区西ノ京中御門西町25,35.01688652,135.7288104
京都市立京都御池中学校,京都府京都市中京区柳馬場通御池上ル虎石町45-3,35.01177159,135.7642554
京都市立朱雀中学校,京都府京都市中京区壬生中川町20-1,35.00701218,135.7364981
京都市立中京中学校,京都府京都市中京区西ノ京北聖町51,35.01292701,135.7436254
京都市立北野中学校,京都府京都市中京区西ノ京中保町1-4,35.02177559,135.7314322
京都市立松原中学校,京都府京都市中京区壬生相合町1,34.99988744,135.7478026
京都市立西ノ京中学校,京都府京都市中京区西ノ京永本町7-1,35.01264409,135.7381984
京都市立堀川高等学校,京都府京都市中京区東堀川通錦小路上ル四坊堀川町622-2,35.00576198,135.7522322
京都市立西京高等学校,京都府京都市中京区西ノ京東中合町1,35.01173955,135.7308585
京都市立銅駝美術工芸高等学校,京都府京都市中京区土手町通竹屋町下ル鉾田町542,35.01483846,135.7701205
京都市生涯学習総合センター,京都府京都市中京区聚楽廻松下町9-2,35.01897806,135.7384435
京都国際マンガミュージアム,京都府京都市中京区烏丸通御池上ル金吹町452,35.01168374,135.7589538
京都芸術センター,京都府京都市中京区室町通蛸薬師下ル山伏山町546-2,35.00544166,135.7583892
京都市男女共同参画センター,京都府京都市中京区東洞院通六角下ル御射山町262,35.00686283,135.7614005
京都府立朱雀高等学校,京都府京都市中京区西ノ京式部町1,35.01419163,135.745057
花園大学,京都府京都市中京区西ノ京壺ノ内町8-1,35.01705813,135.725948
洛陽総合高等学校,京都府京都市中京区西ノ京春日町8,35.01761427,135.7277629
京都両洋高等学校,京都府京都市中京区壬生上大竹町13,35.00781105,135.7339733
京都市立京都堀川音楽高等学校,京都府京都市中京区油小路通御池押油小路町238-1,35.011932,135.752765
京都市こどもみらい館,京都府京都市中京区間之町通竹屋町下ル楠町601-1,35.0155273,135.7612184
京都市立中京もえぎ幼稚園,京都府京都市中京区間之町通竹屋町下ル楠町601-1,35.0155273,135.7612184
京都市子ども保健医療相談・事故防止センター「京（みやこ）あんしんこども館」,京都府京都市中京区釜座通丸太町上ル梅屋町174-3,35.01781037,135.7558799
職員会館かもがわ,京都府京都市中京区土手町通夷川上ル末丸町284,35.01564944,135.7708119
京都市立堀川高等学校本能館及び本能自治会館,京都府京都市中京区元本能寺南町３４６,35.00575178,135.7539022
元京都市立有済小学校,京都府京都市東山区大和大路通三条下ル東入若松町393,35.00769998,135.7738047
元京都市立白川小学校,京都府京都市東山区三条通白川橋東入三丁目夷町175-2,35.00882071,135.783611
元京都市立新道小学校,京都府京都市東山区大和大路通四条下ル四丁目小松町130,34.99960123,135.7717198
元京都市立月輪小学校,京都府京都市東山区本町通三ノ橋上ル本町十七丁目358,34.9778093,135.7716278
京都市立開睛小・中学校,京都府京都市東山区六波羅裏門通東入多門町155,34.996241,135.774162
