施設・場所名,住所,緯度,経度
京都市立羽束師小学校,京都府京都市伏見区羽束師菱川町640,34.93301134,135.7221194
京都市立明親小学校,京都府京都市伏見区淀池上町106,34.90343806,135.721653
京都市立美豆小学校,京都府京都市伏見区淀美豆町1244,34.89723244,135.7129416
京都市立深草中学校,京都府京都市伏見区深草西伊達町1-4,34.9573442,135.7745381
京都市立藤森中学校,京都府京都市伏見区深草池ノ内町55,34.95540085,135.765007
京都市立伏見中学校,京都府京都市伏見区御駕籠町97,34.93848956,135.7603904
京都市立神川中学校,京都府京都市伏見区羽束師菱川町741,34.93246405,135.722079
京都市立醍醐中学校,京都府京都市伏見区醍醐岸ノ上町21,34.94362258,135.8150192
京都市立春日丘中学校,京都府京都市伏見区日野谷寺町50,34.93921707,135.8178992
京都市立小栗栖中学校,京都府京都市伏見区石田川向43,34.94155346,135.7982262
京都市立栗陵中学校,京都府京都市伏見区醍醐池田町17-1,34.94660647,135.8078115
京都市立桃陵中学校,京都府京都市伏見区桃陵町1-1,34.92850692,135.7663627
京都市立向島中学校,京都府京都市伏見区向島二ノ丸町151-55,34.91715193,135.7748118
京都市立向島東中学校,京都府京都市伏見区向島吹田河原町138,34.92569461,135.7778263
京都市立大淀中学校,京都府京都市伏見区淀下津町257-7,34.9019179,135.7235943
京都市立洛水中学校,京都府京都市伏見区横大路竜ヶ池31,34.92054907,135.7304749
京都市立伏見工業高等学校,京都府京都市伏見区深草鈴塚町13,34.96975235,135.7647718
京都府立伏見港公園総合体育館,京都府京都市伏見区葭島金井戸町,34.92528699,135.7578372
種智院大学,京都府京都市伏見区向島西定請70,34.91399686,135.7658129
龍谷大学,京都府京都市伏見区深草塚本町67,34.96394591,135.7666202
京都教育大学附属高等学校,京都府京都市伏見区深草越後屋敷町111,34.95083614,135.7652825
天理教淀分教会,京都府京都市伏見区納所町223,34.90872629,135.7179346
京都府立消防学校,京都府八幡市八幡樋ノ口15番地の15,34.88826233,135.7211184
